,precision,recall,f1-score,support
0 - 0,0.8297796093889984,0.7970740103270224,0.8130980598718286,5810.0
0 - 20000,0.7329369604170061,0.9525775378427014,0.8284464902186421,18894.0
20000 - 50000,0.364741641337386,0.04225352112676056,0.07573366992742189,2840.0
50000 - 100000,0.3333333333333333,0.038461538461538464,0.06896551724137931,1300.0
100000 - 200000,0.25,0.031070195627157654,0.05527123848515865,869.0
200000 - 500000,0.25161290322580643,0.05371900826446281,0.08853575482406356,726.0
500000 - 1000000,0.1864406779661017,0.03985507246376811,0.06567164179104477,276.0
1000000 - 2000000,0.3,0.08875739644970414,0.136986301369863,169.0
2000000 - 5000000,0.34210526315789475,0.12745098039215685,0.18571428571428572,102.0
5000000 - 10000000,0.125,0.029411764705882353,0.047619047619047616,34.0
10000000 - 20000000,0.0,0.0,0.0,10.0
20000000 - 50000000,0.0,0.0,0.0,5.0
50000000 - 100000000,0.0,0.0,0.0,1.0
100000000 - 200000000,0.0,0.0,0.0,1.0
accuracy,0.7379901407996907,0.7379901407996907,0.7379901407996907,0.7379901407996907
macro avg,0.26542502777332333,0.1571879304043682,0.1690030005044811,31037.0
weighted avg,0.6662871214068109,0.7379901407996907,0.6719609542200481,31037.0
