class,f1_score
0 - 0,0.8130980598718286
0 - 20000,0.8284464902186421
20000 - 50000,0.07573366992742189
50000 - 100000,0.06896551724137931
100000 - 200000,0.05527123848515865
200000 - 500000,0.08853575482406356
500000 - 1000000,0.06567164179104477
1000000 - 2000000,0.136986301369863
2000000 - 5000000,0.18571428571428572
5000000 - 10000000,0.047619047619047616
10000000 - 20000000,0.0
20000000 - 50000000,0.0
50000000 - 100000000,0.0
100000000 - 200000000,0.0
macro avg,0.1690030005044811
weighted avg,0.6719609542200481
