,Predicted 0 - 0,Predicted 0 - 20000,Predicted 20000 - 50000,Predicted 50000 - 100000,Predicted 100000 - 200000,Predicted 200000 - 500000,Predicted 500000 - 1000000,Predicted 1000000 - 2000000,Predicted 2000000 - 5000000,Predicted 5000000 - 10000000,Predicted 10000000 - 20000000,Predicted 20000000 - 50000000,Predicted 50000000 - 100000000,Predicted 100000000 - 200000000
Actual 0 - 0,4631,1171,5,0,1,1,0,1,0,0,0,0,0,0
Actual 0 - 20000,742,17998,106,21,10,5,0,4,4,2,1,1,0,0
Actual 20000 - 50000,94,2578,120,32,10,6,0,0,0,0,0,0,0,0
Actual 50000 - 100000,45,1117,43,50,25,15,3,1,1,0,0,0,0,0
Actual 100000 - 200000,21,733,30,20,27,30,5,3,0,0,0,0,0,0
Actual 200000 - 500000,19,586,19,20,24,39,12,3,3,1,0,0,0,0
Actual 500000 - 1000000,10,203,1,5,7,32,11,7,0,0,0,0,0,0
Actual 1000000 - 2000000,11,89,4,1,1,17,17,15,12,2,0,0,0,0
Actual 2000000 - 5000000,5,52,1,1,1,8,7,11,13,2,1,0,0,0
Actual 5000000 - 10000000,1,20,0,0,2,2,3,1,4,1,0,0,0,0
Actual 10000000 - 20000000,1,5,0,0,0,0,1,3,0,0,0,0,0,0
Actual 20000000 - 50000000,0,4,0,0,0,0,0,1,0,0,0,0,0,0
Actual 50000000 - 100000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Actual 100000000 - 200000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
